DOCUMENTO,REPETICIONES
009.html,2.0
012.html,2.0
016.html,1.0
017.html,3.0
018.html,7.0
019.html,4.0
002.html,5.0
004.html,1.0
007.html,5.0
008.html,3.0
009.html,5.0
012.html,2.0
015.html,1.0
017.html,1.0
018.html,1.0
019.html,2.0
002.html,4.0
008.html,1.0
009.html,3.0
016.html,1.0
019.html,16.0
002.html,3.0
002.html,12.0
007.html,51.0
015.html,3.0
002.html,7.0
007.html,10.0
009.html,1.0
011.html,1.0
019.html,3.0
002.html,7.0
007.html,9.0
008.html,1.0
009.html,1.0
010.html,1.0
011.html,1.0
019.html,2.0
002.html,5.0
007.html,4.0
008.html,1.0
009.html,3.0
012.html,5.0
016.html,1.0
018.html,2.0
019.html,6.0
007.html,4.0
009.html,7.0
011.html,2.0
016.html,1.0
019.html,7.0
002.html,7.0
007.html,3.0
011.html,3.0
016.html,1.0
018.html,2.0
019.html,5.0
007.html,18.0
010.html,1.0
011.html,16.0
015.html,1.0
002.html,5.0
007.html,2.0
009.html,2.0
011.html,5.0
016.html,2.0
018.html,1.0
019.html,30.0
007.html,2.0
009.html,3.0
011.html,6.0
019.html,8.0
002.html,4.0
007.html,13.0
008.html,3.0
009.html,3.0
010.html,1.0
017.html,1.0
019.html,6.0
002.html,3.0
009.html,4.0
011.html,13.0
016.html,1.0
019.html,7.0
002.html,5.0
007.html,4.0
009.html,1.0
011.html,9.0
018.html,1.0
002.html,4.0
008.html,1.0
009.html,1.0
011.html,1.0
016.html,1.0
017.html,1.0
002.html,1.0
007.html,10.0
009.html,3.0
010.html,1.0
011.html,4.0
019.html,5.0
002.html,6.0
007.html,3.0
008.html,1.0
009.html,2.0
011.html,2.0
018.html,2.0
019.html,2.0
002.html,2.0
007.html,8.0
009.html,6.0
010.html,1.0
011.html,4.0
019.html,4.0
002.html,1.0
005.html,1.0
007.html,1.0
008.html,2.0
011.html,7.0
017.html,2.0
002.html,1.0
003.html,2.0
007.html,7.0
009.html,3.0
011.html,4.0
012.html,1.0
016.html,2.0
019.html,7.0
002.html,3.0
007.html,12.0
011.html,2.0
019.html,4.0
018.html,1.0
007.html,10.0
008.html,9.0
009.html,8.0
010.html,7.0
011.html,12.0
012.html,12.0
014.html,15.0
002.html,7.0
007.html,6.0
008.html,1.0
009.html,5.0
010.html,3.0
019.html,5.0
007.html,31.0
009.html,2.0
011.html,4.0
007.html,9.0
011.html,3.0
016.html,1.0
019.html,10.0
009.html,3.0
016.html,1.0
019.html,33.0
002.html,1.0
009.html,1.0
009.html,1.0
002.html,8.0
007.html,4.0
009.html,1.0
011.html,4.0
015.html,1.0
017.html,1.0
019.html,2.0
002.html,67.0
007.html,1.0
011.html,15.0
016.html,1.0
002.html,5.0
003.html,2.0
007.html,3.0
009.html,2.0
010.html,1.0
011.html,1.0
019.html,14.0
007.html,1.0
009.html,3.0
010.html,2.0
019.html,4.0
002.html,4.0
007.html,5.0
008.html,1.0
009.html,7.0
011.html,2.0
019.html,5.0
002.html,2.0
003.html,2.0
009.html,5.0
011.html,2.0
019.html,13.0
002.html,2.0
007.html,7.0
009.html,6.0
011.html,8.0
016.html,1.0
019.html,2.0
019.html,1.0
002.html,4.0
007.html,5.0
008.html,1.0
009.html,6.0
010.html,1.0
011.html,3.0
019.html,4.0
002.html,3.0
007.html,1.0
009.html,1.0
011.html,3.0
002.html,2.0
007.html,5.0
009.html,1.0
011.html,2.0
019.html,7.0
019.html,1.0
002.html,1.0
007.html,1.0
009.html,3.0
010.html,2.0
011.html,1.0
012.html,1.0
019.html,7.0
002.html,1.0
019.html,1.0
003.html,2.0
004.html,1.0
011.html,1.0
010.html,4.0
019.html,26.0
002.html,8.0
003.html,6.0
008.html,12.0
011.html,11.0
015.html,13.0
020.html,7.0
007.html,22.0
015.html,3.0
002.html,8.0
003.html,6.0
008.html,11.0
011.html,10.0
015.html,13.0
020.html,7.0
003.html,2.0
011.html,20.0
020.html,1.0
002.html,1.0
009.html,2.0
011.html,14.0
016.html,1.0
019.html,3.0
020.html,2.0
007.html,55.0
007.html,34.0
011.html,6.0
015.html,1.0
011.html,5.0
002.html,3.0
007.html,7.0
008.html,1.0
009.html,1.0
011.html,2.0
019.html,1.0
002.html,3.0
007.html,10.0
009.html,1.0
011.html,2.0
019.html,5.0
002.html,12.0
005.html,1.0
007.html,1.0
010.html,1.0
019.html,1.0
002.html,1.0
003.html,2.0
007.html,6.0
008.html,6.0
009.html,5.0
012.html,1.0
016.html,1.0
018.html,2.0
019.html,4.0
002.html,2.0
004.html,1.0
007.html,2.0
009.html,1.0
010.html,1.0
011.html,1.0
012.html,1.0
015.html,1.0
017.html,1.0
020.html,1.0
002.html,10.0
008.html,2.0
009.html,6.0
016.html,1.0
019.html,8.0
002.html,1.0
007.html,3.0
009.html,3.0
011.html,1.0
016.html,1.0
019.html,6.0
002.html,5.0
008.html,3.0
009.html,5.0
011.html,1.0
016.html,2.0
019.html,10.0
002.html,1.0
019.html,3.0
002.html,6.0
007.html,2.0
009.html,2.0
011.html,1.0
019.html,3.0
004.html,1.0
008.html,1.0
009.html,7.0
011.html,5.0
012.html,1.0
016.html,1.0
019.html,3.0
007.html,14.0
011.html,7.0
007.html,7.0
009.html,2.0
010.html,1.0
011.html,3.0
019.html,4.0
008.html,1.0
009.html,1.0
002.html,1.0
007.html,4.0
008.html,1.0
009.html,1.0
011.html,1.0
016.html,5.0
019.html,15.0
009.html,2.0
008.html,2.0
010.html,8.0
019.html,17.0
002.html,1.0
007.html,6.0
002.html,1.0
004.html,3.0
007.html,2.0
011.html,1.0
012.html,2.0
015.html,1.0
016.html,1.0
018.html,2.0
020.html,1.0
008.html,4.0
009.html,1.0
012.html,3.0
017.html,1.0
018.html,3.0
002.html,3.0
007.html,7.0
009.html,5.0
015.html,1.0
002.html,1.0
007.html,1.0
